Directed Walk,DT, DT, DT, DT
,10018,414,100,314
,10095,395,100,295
,10026,415,100,315
,10066,433,100,333
,10049,419,100,319
,10029,407,100,307
,10063,444,100,344
,10048,418,100,318
,10054,422,100,322
,10085,415,100,315
Avg of 100
,20123,819,200,619
,20076,813,200,613
,20142,859,200,659
,20134,782,200,582
,20118,848,200,648
,20154,819,200,619
,20159,812,200,612
,20171,891,200,691
,20105,818,200,618
,20088,804,200,604
Avg of 200
,30155,1241,300,941
,30152,1236,300,936
,30196,1267,300,967
,30142,1228,300,928
,30148,1195,300,895
,30177,1252,300,952
,30177,1212,300,912
,30241,1228,300,928
,30197,1231,300,931
,30126,1242,300,942
Avg of 300
,40246,1641,400,1241
,40221,1651,400,1251
,40236,1645,400,1245
,40204,1652,400,1252
,40249,1715,400,1315
,40243,1669,400,1269
,40167,1647,400,1247
,40227,1620,400,1220
,40215,1585,400,1185
,40257,1689,400,1289
Avg of 400
,50242,2046,500,1546
,50240,2107,500,1607
,50302,2011,500,1511
,50202,2041,500,1541
,50233,2064,500,1564
,50338,2070,500,1570
,50289,2072,500,1572
,50299,2095,500,1595
,50380,2118,500,1618
,50291,2032,500,1532
Avg of 500
,60401,2454,600,1854
,60336,2487,600,1887
,60373,2460,600,1860
,60395,2459,600,1859
,60396,2434,600,1834
,60250,2437,600,1837
,60348,2491,600,1891
,60373,2500,600,1900
,60480,2467,600,1867
,60420,2528,600,1928
Avg of 600
,70378,2884,700,2184
,70438,2883,700,2183
,70397,2855,700,2155
,70392,2884,700,2184
,70301,2890,700,2190
,70501,2868,700,2168
,70440,2848,700,2148
,70312,2852,700,2152
,70328,2812,700,2112
,70357,2906,700,2206
Avg of 700
,80437,3286,800,2486
,80481,3287,800,2487
,80556,3323,800,2523
,80378,3271,800,2471
,80503,3332,800,2532
,80430,3317,800,2517
,80518,3318,800,2518
,80489,3305,800,2505
,80463,3293,800,2493
,80567,3252,800,2452
Avg of 800
,90463,3782,900,2882
,90513,3710,900,2810
,90559,3690,900,2790
,90598,3717,900,2817
,90605,3732,900,2832
,90539,3654,900,2754
,90555,3654,900,2754
,90472,3755,900,2855
,90546,3661,900,2761
,90533,3715,900,2815
Avg of 900
,100670,4070,1000,3070
,100422,4111,1000,3111
,100556,4185,1000,3185
,100463,4166,1000,3166
,100525,4096,1000,3096
,100513,4154,1000,3154
,100566,4113,1000,3113
,100578,4042,1000,3042
,100530,4114,1000,3114
,100496,4161,1000,3161
Avg of 1000
Directed Walk,DT2,DT2,DT2,DT2
,10074,421,100,321
,10056,439,100,339
,10067,399,100,299
,10065,422,100,322
,10102,394,100,294
,10046,414,100,314
,10023,404,100,304
,10073,410,100,310
,10063,423,100,323
,10060,410,100,310
Avg of 100
,20099,827,200,627
,20067,793,200,593
,20119,805,200,605
,20175,816,200,616
,20163,796,200,596
,20127,810,200,610
,20064,795,200,595
,20139,821,200,621
,20164,832,200,632
,20057,755,200,555
Avg of 200
,30211,1242,300,942
,30180,1232,300,932
,30175,1215,300,915
,30215,1238,300,938
,30267,1251,300,951
,30177,1240,300,940
,30165,1178,300,878
,30166,1192,300,892
,30202,1204,300,904
,30194,1231,300,931
Avg of 300
,40294,1650,400,1250
,40161,1589,400,1189
,40233,1612,400,1212
,40184,1642,400,1242
,40247,1608,400,1208
,40312,1633,400,1233
,40258,1657,400,1257
,40223,1682,400,1282
,40201,1617,400,1217
,40203,1639,400,1239
Avg of 400
,50300,2053,500,1553
,50295,2010,500,1510
,50335,2053,500,1553
,50297,1992,500,1492
,50318,2094,500,1594
,50273,2052,500,1552
,50248,2031,500,1531
,50199,2017,500,1517
,50265,2088,500,1588
,50285,2076,500,1576
Avg of 500
,60363,2479,600,1879
,60342,2453,600,1853
,60359,2409,600,1809
,60332,2490,600,1890
,60350,2437,600,1837
,60441,2533,600,1933
,60456,2509,600,1909
,60262,2419,600,1819
,60301,2403,600,1803
,60338,2376,600,1776
Avg of 600
,70399,2880,700,2180
,70371,2892,700,2192
,70404,2834,700,2134
,70420,2864,700,2164
,70358,2882,700,2182
,70426,2876,700,2176
,70406,2844,700,2144
,70462,2865,700,2165
,70311,2849,700,2149
,70415,2875,700,2175
Avg of 700
,80320,3210,800,2410
,80534,3249,800,2449
,80417,3356,800,2556
,80515,3262,800,2462
,80426,3341,800,2541
,80395,3323,800,2523
,80450,3305,800,2505
,80428,3306,800,2506
,80537,3286,800,2486
,80533,3324,800,2524
Avg of 800
,90461,3644,900,2744
,90583,3707,900,2807
,90620,3698,900,2798
,90488,3689,900,2789
,90486,3646,900,2746
,90507,3665,900,2765
,90461,3664,900,2764
,90416,3695,900,2795
,90543,3710,900,2810
,90469,3625,900,2725
Avg of 900
,100620,4119,1000,3119
,100652,4078,1000,3078
,100646,4106,1000,3106
,100544,4071,1000,3071
,100660,4148,1000,3148
,100496,3986,1000,2986
,100617,4092,1000,3092
,100611,4073,1000,3073
,100672,4120,1000,3120
,100526,4144,1000,3144
Avg of 1000
Directed Walk,HV,HV,HV,HV
,9882,529,100,429
,9797,626,100,526
,9887,569,100,469
,9928,530,100,430
,9932,524,100,424
,9954,496,100,396
,9964,494,100,394
,9945,532,100,432
,9907,581,100,481
,9828,543,100,443
Avg of 100
,19935,1084,200,884
,19825,1135,200,935
,19900,998,200,798
,19859,1075,200,875
,19815,1134,200,934
,19862,1053,200,853
,19779,1167,200,967
,19704,1123,200,923
,19918,1068,200,868
,19829,1110,200,910
Avg of 200
,29878,1566,300,1266
,29599,1762,300,1462
,29695,1645,300,1345
,29837,1620,300,1320
,29761,1596,300,1296
,29743,1611,300,1311
,29779,1619,300,1319
,29819,1541,300,1241
,29741,1684,300,1384
,29870,1640,300,1340
Avg of 300
,39617,2202,400,1802
,39609,2184,400,1784
,39669,2218,400,1818
,39638,2229,400,1829
,39645,2232,400,1832
,39637,2155,400,1755
,39741,2064,400,1664
,39742,2211,400,1811
,39635,2244,400,1844
,39650,2198,400,1798
Avg of 400
,49685,2643,500,2143
,49543,2727,500,2227
,49501,2713,500,2213
,49603,2690,500,2190
,49655,2696,500,2196
,49418,2730,500,2230
,49437,2814,500,2314
,49571,2599,500,2099
,49551,2722,500,2222
,49641,2766,500,2266
Avg of 500
,59527,3167,600,2567
,59676,3210,600,2610
,59679,3173,600,2573
,59815,3136,600,2536
,59591,3196,600,2596
,59401,3358,600,2758
,59512,3301,600,2701
,59483,3202,600,2602
,59473,3302,600,2702
,59629,3223,600,2623
Avg of 600
,69377,3811,700,3111
,69507,3843,700,3143
,69323,3792,700,3092
,69775,3737,700,3037
,69484,3769,700,3069
,69609,3769,700,3069
,69546,3751,700,3051
,69372,3969,700,3269
,69386,3819,700,3119
,69255,3962,700,3262
Avg of 700
,79415,4214,800,3414
,79424,4364,800,3564
,79363,4395,800,3595
,79361,4313,800,3513
,79336,4384,800,3584
,79315,4422,800,3622
,79383,4314,800,3514
,79580,4224,800,3424
,79356,4446,800,3646
,79663,4278,800,3478
Avg of 800
,89275,4836,900,3936
,89301,4962,900,4062
,89320,4869,900,3969
,89373,4864,900,3964
,89402,4819,900,3919
,89343,4862,900,3962
,89024,5022,900,4122
,89262,4986,900,4086
,89187,4952,900,4052
,89313,4869,900,3969
Avg of 900
,99460,5331,1000,4331
,99287,5194,1000,4194
,99264,5250,1000,4250
,99277,5290,1000,4290
,99103,5435,1000,4435
,99592,5327,1000,4327
,99251,5398,1000,4398
,99128,5426,1000,4426
,99378,5525,1000,4525
,99430,5344,1000,4344
Avg of 1000
Directed Walk,HV2,HV2,HV2,HV2
,9954,531,100,431
,9988,483,100,383
,9952,469,100,369
,9800,562,100,462
,9959,540,100,440
,9942,537,100,437
,9961,535,100,435
,9885,558,100,458
,9918,543,100,443
,9895,551,100,451
Avg of 100
,19891,1102,200,902
,19880,1061,200,861
,19889,1023,200,823
,19837,1088,200,888
,19785,1077,200,877
,19872,1139,200,939
,19805,1120,200,920
,19808,1113,200,913
,19894,1068,200,868
,19854,1114,200,914
Avg of 200
,29628,1684,300,1384
,29692,1690,300,1390
,29560,1721,300,1421
,29612,1734,300,1434
,29799,1595,300,1295
,29676,1681,300,1381
,29598,1672,300,1372
,29813,1633,300,1333
,29773,1693,300,1393
,29770,1586,300,1286
Avg of 300
,39716,2229,400,1829
,39803,2048,400,1648
,39689,2193,400,1793
,39879,2102,400,1702
,39770,2175,400,1775
,39660,2136,400,1736
,39748,2098,400,1698
,39755,2116,400,1716
,39634,2184,400,1784
,39636,2089,400,1689
Avg of 400
,49660,2699,500,2199
,49662,2738,500,2238
,49621,2714,500,2214
,49762,2667,500,2167
,49870,2601,500,2101
,49374,2809,500,2309
,49687,2738,500,2238
,49759,2675,500,2175
,49785,2702,500,2202
,49802,2773,500,2273
Avg of 500
,59471,3210,600,2610
,59408,3248,600,2648
,59724,3233,600,2633
,59606,3269,600,2669
,59595,3303,600,2703
,59852,3080,600,2480
,59485,3261,600,2661
,59553,3251,600,2651
,59645,3102,600,2502
,59578,3218,600,2618
Avg of 600
,69415,3783,700,3083
,69660,3740,700,3040
,69483,3912,700,3212
,69519,3757,700,3057
,69332,3899,700,3199
,69630,3780,700,3080
,69461,3981,700,3281
,69391,3869,700,3169
,69659,3694,700,2994
,69509,3733,700,3033
Avg of 700
,79589,4287,800,3487
,79635,4256,800,3456
,79274,4500,800,3700
,79631,4197,800,3397
,79569,4250,800,3450
,79603,4171,800,3371
,79496,4245,800,3445
,79447,4372,800,3572
,79581,4191,800,3391
,79389,4320,800,3520
Avg of 800
,89535,4881,900,3981
,89339,4928,900,4028
,89365,4970,900,4070
,89531,4842,900,3942
,89197,5049,900,4149
,89554,4721,900,3821
,89645,4787,900,3887
,89310,5002,900,4102
,89260,4902,900,4002
,89307,4880,900,3980
Avg of 900
,99133,5678,1000,4678
,99019,5617,1000,4617
,99364,5322,1000,4322
,99157,5557,1000,4557
,99429,5268,1000,4268
,99170,5437,1000,4437
,99389,5232,1000,4232
,99066,5590,1000,4590
,99336,5321,1000,4321
,99223,5578,1000,4578
Avg of 1000
Directed Walk,KNN,KNN,KNN,KNN
,9540,630,100,530
,9636,588,100,488
,9591,611,100,511
,9612,597,100,497
,9463,673,100,573
,9653,606,100,506
,9589,635,100,535
,9667,590,100,490
,9678,586,100,486
,9488,699,100,599
Avg of 100
,19036,1295,200,1095
,19141,1298,200,1098
,19275,1218,200,1018
,19182,1269,200,1069
,19182,1216,200,1016
,19036,1331,200,1131
,19196,1273,200,1073
,19223,1200,200,1000
,19341,1128,200,928
,19256,1244,200,1044
Avg of 200
,29071,1831,300,1531
,28983,1760,300,1460
,28597,1877,300,1577
,28966,1760,300,1460
,29078,1804,300,1504
,28837,1854,300,1554
,28555,1983,300,1683
,28795,1878,300,1578
,28777,1846,300,1546
,28931,1764,300,1464
Avg of 300
,38967,2261,400,1861
,38791,2273,400,1873
,38184,2587,400,2187
,38320,2523,400,2123
,38412,2517,400,2117
,38469,2389,400,1989
,38746,2304,400,1904
,38016,2696,400,2296
,38322,2427,400,2027
,38489,2469,400,2069
Avg of 400
,48509,2817,500,2317
,47968,3114,500,2614
,48158,3008,500,2508
,48266,3075,500,2575
,48381,2841,500,2341
,48386,2988,500,2488
,47865,3176,500,2676
,48082,3079,500,2579
,48370,2931,500,2431
,48319,2913,500,2413
Avg of 500
,57673,3713,600,3113
,57769,3653,600,3053
,57738,3593,600,2993
,57265,3944,600,3344
,58133,3539,600,2939
,57817,3643,600,3043
,58013,3564,600,2964
,57566,3754,600,3154
,57733,3650,600,3050
,57345,3900,600,3300
Avg of 600
,67159,4308,700,3608
,67907,3979,700,3279
,67592,4121,700,3421
,67416,4205,700,3505
,67280,4348,700,3648
,67117,4290,700,3590
,67442,4232,700,3532
,67232,4229,700,3529
,67772,4096,700,3396
,67341,4191,700,3491
Avg of 700
,77093,4794,800,3994
,77224,4709,800,3909
,77022,4975,800,4175
,77250,4820,800,4020
,77483,4532,800,3732
,77348,4761,800,3961
,76940,4783,800,3983
,76667,5035,800,4235
,77137,4795,800,3995
,77238,4740,800,3940
Avg of 800
,86826,5382,900,4482
,86647,5462,900,4562
,86541,5438,900,4538
,87060,5331,900,4431
,86739,5528,900,4628
,86327,5569,900,4669
,87187,5311,900,4411
,86890,5317,900,4417
,86714,5403,900,4503
,86670,5508,900,4608
Avg of 900
,95832,6234,1000,5234
,96503,5943,1000,4943
,96148,6189,1000,5189
,96227,6239,1000,5239
,95794,6204,1000,5204
,96451,5945,1000,4945
,96248,6037,1000,5037
,96623,5832,1000,4832
,96130,6059,1000,5059
,96365,6029,1000,5029
Avg of 1000
Directed Walk,KNN2,KNN2,KNN2,KNN2
,9598,593,100,493
,9734,533,100,433
,9635,628,100,528
,9770,531,100,431
,9717,566,100,466
,9514,630,100,530
,9594,640,100,540
,9533,673,100,573
,9501,662,100,562
,9714,588,100,488
Avg of 100
,19255,1203,200,1003
,19305,1228,200,1028
,19202,1195,200,995
,19566,1116,200,916
,19296,1237,200,1037
,19182,1234,200,1034
,19327,1189,200,989
,19325,1150,200,950
,19328,1205,200,1005
,19132,1256,200,1056
Avg of 200
,29088,1751,300,1451
,28605,2035,300,1735
,29004,1808,300,1508
,28800,1892,300,1592
,29252,1657,300,1357
,29059,1713,300,1413
,29070,1799,300,1499
,29034,1724,300,1424
,29096,1817,300,1517
,28948,1797,300,1497
Avg of 300
,38686,2342,400,1942
,38830,2300,400,1900
,38755,2392,400,1992
,38737,2357,400,1957
,38584,2422,400,2022
,38661,2393,400,1993
,38630,2465,400,2065
,38781,2278,400,1878
,38569,2405,400,2005
,38357,2543,400,2143
Avg of 400
,48081,3060,500,2560
,48233,3083,500,2583
,48555,2883,500,2383
,48652,2854,500,2354
,48030,3062,500,2562
,48227,3059,500,2559
,48360,2986,500,2486
,48669,2883,500,2383
,48675,2870,500,2370
,48280,2981,500,2481
Avg of 500
,58180,3562,600,2962
,58161,3407,600,2807
,58016,3546,600,2946
,58219,3559,600,2959
,57640,3736,600,3136
,58038,3587,600,2987
,57868,3675,600,3075
,57890,3684,600,3084
,58103,3621,600,3021
,57989,3475,600,2875
Avg of 600
,67448,4315,700,3615
,67313,4274,700,3574
,67596,4097,700,3397
,67618,4112,700,3412
,67991,4043,700,3343
,67607,4274,700,3574
,67402,4337,700,3637
,67872,4143,700,3443
,67424,4286,700,3586
,67858,4114,700,3414
Avg of 700
,77591,4679,800,3879
,76890,4929,800,4129
,77755,4630,800,3830
,77217,4828,800,4028
,77764,4679,800,3879
,77388,4838,800,4038
,77481,4706,800,3906
,77544,4739,800,3939
,77331,4837,800,4037
,77052,4860,800,4060
Avg of 800
,87190,5304,900,4404
,87222,5290,900,4390
,87039,5389,900,4489
,86911,5453,900,4553
,87066,5428,900,4528
,87049,5381,900,4481
,86680,5606,900,4706
,86992,5346,900,4446
,87193,5278,900,4378
,87094,5340,900,4440
Avg of 900
,96931,5796,1000,4796
,96578,6031,1000,5031
,96459,6144,1000,5144
,96896,5848,1000,4848
,96361,6128,1000,5128
,96714,5875,1000,4875
,96559,5965,1000,4965
,96971,5904,1000,4904
,96788,5883,1000,4883
,96908,5900,1000,4900
Avg of 1000
Directed Walk,LR,LR,LR,LR
,10185,413,100,313
,10209,411,100,311
,10219,427,100,327
,10193,426,100,326
,10202,461,100,361
,10155,463,100,363
,10221,432,100,332
,10164,450,100,350
,10225,393,100,293
,10213,446,100,346
Avg of 100
,20422,849,200,649
,20488,811,200,611
,20548,804,200,604
,20495,810,200,610
,20404,860,200,660
,20400,839,200,639
,20461,806,200,606
,20490,794,200,594
,20441,842,200,642
,20358,867,200,667
Avg of 200
,30636,1243,300,943
,30587,1293,300,993
,30636,1295,300,995
,30792,1169,300,869
,30664,1251,300,951
,30653,1242,300,942
,30720,1191,300,891
,30583,1326,300,1026
,30658,1278,300,978
,30700,1216,300,916
Avg of 300
,40857,1695,400,1295
,40901,1626,400,1226
,40879,1688,400,1288
,40994,1619,400,1219
,40907,1624,400,1224
,40948,1587,400,1187
,40864,1645,400,1245
,40953,1609,400,1209
,40894,1678,400,1278
,40848,1717,400,1317
Avg of 400
,51254,1990,500,1490
,51161,2036,500,1536
,51144,2028,500,1528
,51260,1994,500,1494
,51094,2034,500,1534
,51070,2086,500,1586
,51287,1985,500,1485
,51147,2082,500,1582
,51195,1996,500,1496
,51203,2012,500,1512
Avg of 500
,61297,2551,600,1951
,61536,2378,600,1778
,61303,2488,600,1888
,61361,2437,600,1837
,61391,2441,600,1841
,61364,2494,600,1894
,61423,2450,600,1850
,61404,2482,600,1882
,61421,2450,600,1850
,61320,2484,600,1884
Avg of 600
,71514,2900,700,2200
,71653,2813,700,2113
,71582,2841,700,2141
,71475,2913,700,2213
,71678,2849,700,2149
,71663,2813,700,2113
,71632,2889,700,2189
,71542,2895,700,2195
,71523,2908,700,2208
,71642,2837,700,2137
Avg of 700
,81665,3403,800,2603
,81885,3217,800,2417
,81952,3214,800,2414
,81840,3261,800,2461
,81866,3290,800,2490
,81793,3342,800,2542
,81779,3286,800,2486
,81737,3324,800,2524
,81933,3201,800,2401
,81546,3435,800,2635
Avg of 800
,92046,3628,900,2728
,92034,3721,900,2821
,92079,3638,900,2738
,92123,3594,900,2694
,91956,3776,900,2876
,91905,3790,900,2890
,92038,3769,900,2869
,91941,3777,900,2877
,92017,3737,900,2837
,92030,3754,900,2854
Avg of 900
,102176,4190,1000,3190
,102268,4086,1000,3086
,102126,4147,1000,3147
,102282,4112,1000,3112
,102257,4141,1000,3141
,102268,4149,1000,3149
,102221,4173,1000,3173
,102140,4172,1000,3172
,102221,4113,1000,3113
,102102,4194,1000,3194
Avg of 1000
Directed Walk,LR2,LR2,LR2,LR2
,10252,396,100,296
,10218,414,100,314
,10168,454,100,354
,10205,423,100,323
,10238,400,100,300
,10201,432,100,332
,10225,409,100,309
,10220,451,100,351
,10228,426,100,326
,10275,387,100,287
Avg of 100
,20463,825,200,625
,20463,838,200,638
,20401,851,200,651
,20398,826,200,626
,20379,886,200,686
,20501,780,200,580
,20428,847,200,647
,20406,883,200,683
,20479,849,200,649
,20428,846,200,646
Avg of 200
,30611,1277,300,977
,30563,1314,300,1014
,30611,1264,300,964
,30668,1237,300,937
,30679,1242,300,942
,30664,1221,300,921
,30837,1151,300,851
,30703,1190,300,890
,30682,1225,300,925
,30693,1242,300,942
Avg of 300
,40839,1659,400,1259
,41042,1584,400,1184
,40982,1615,400,1215
,40876,1669,400,1269
,40875,1687,400,1287
,40890,1684,400,1284
,40901,1660,400,1260
,40882,1647,400,1247
,40962,1591,400,1191
,40779,1711,400,1311
Avg of 400
,51158,2038,500,1538
,51051,2108,500,1608
,51137,2029,500,1529
,51114,2066,500,1566
,51191,2007,500,1507
,51206,1992,500,1492
,51080,2110,500,1610
,51089,2118,500,1618
,51095,2081,500,1581
,51239,1953,500,1453
Avg of 500
,61336,2449,600,1849
,61191,2574,600,1974
,61355,2471,600,1871
,61306,2482,600,1882
,61153,2570,600,1970
,61380,2438,600,1838
,61320,2421,600,1821
,61308,2480,600,1880
,61521,2350,600,1750
,61261,2557,600,1957
Avg of 600
,71736,2765,700,2065
,71597,2860,700,2160
,71553,2863,700,2163
,71511,2913,700,2213
,71579,2903,700,2203
,71476,2964,700,2264
,71628,2824,700,2124
,71548,2960,700,2260
,71495,2916,700,2216
,71566,2907,700,2207
Avg of 700
,81703,3332,800,2532
,81768,3372,800,2572
,81751,3320,800,2520
,81766,3381,800,2581
,81706,3295,800,2495
,81945,3219,800,2419
,81791,3322,800,2522
,81834,3263,800,2463
,81856,3266,800,2466
,81789,3275,800,2475
Avg of 800
,91967,3728,900,2828
,92053,3631,900,2731
,92008,3699,900,2799
,91934,3785,900,2885
,91977,3767,900,2867
,92189,3632,900,2732
,92059,3779,900,2879
,92205,3580,900,2680
,92082,3691,900,2791
,92098,3714,900,2814
Avg of 900
,102333,4097,1000,3097
,102419,3981,1000,2981
,102296,4109,1000,3109
,102305,4029,1000,3029
,102389,4006,1000,3006
